maj9thPent,1/1,5/4,3/2,15/8,9/4
min9thPent,1/1,6/5,3/2,9/5,9/4
maj9thPent1stInv,1/1,6/5,3/2,9/5,16/5
min9thPent1stInv,1/1,5/4,3/2,45/24,10/3
maj9thPent2ndInv,1/1,5/4,3/2,8/3,10/3
min9thPent2ndInv,1/1,6/5,3/2,8/3,16/5
maj9thPent3rdInv,1/1,6/5,32/15,8/3,48/15
Min9thPent3rdInv,1/1,5/4,20/9,8/3,10/3
Maj9thPent4thInv,1/1,16/9,20/9,8/3,10/3
Min9thPent4thInv,1/1,16/9,32/15,8/3,16/5
starling,1/1,9/8,5/4,3/2,9/5
starling1stInv,1/1,10/9,4/3,8/5,16/9
starling2ndInv,1/1,6/5,36/25,8/5,9/5
starling3rdInv,1/1,6/5,4/3,3/2,5/3
Starling4thInv,1/1,16/9,32/15,25/18,5/3
tridecimalSubminor9th,1/1,7/6,3/2,11/6,13/6
