bohlenPeirceChromatic,1/1,27/25,25/21,9/7,7/5,75/49,5/3,9/5,49/25,15/7,7/3,63/25,25/9
bohlenPeirceDurI,1/1,27/25,,9/7,7/5,,5/3,9/5,49/25,,7/3,63/25,
bohlenPeirceDurII,1/1,,25/21,9/7,7/5,,5/3,9/5,,15/7,7/3,63/25,
bohlenPeirceMollI,1/1,,25/21,9/7,,75/49,5/3,9/5,,15/7,7/3,,25/9
bohlenPeirceMollII,1/1,27/25,,9/7,7/5,,5/3,9/5,,15/7,7/3,,25/9
bohlenPeirceGamma,1/1,27/25,,9/7,7/5,,5/3,9/5,49/25,,7/3,,25/9
bohlenPeirceHarmonic,1/1,27/25,,9/7,7/5,,5/3,9/5,,15/7,7/3,63/25,
bohlenPeirceLambda,1/1,,25/21,9/7,7/5,,5/3,9/5,,15/7,7/3,63/25,
bohlenPeirceWalkerA,1/1,27/25,25/21,,7/5,75/49,,9/5,49/25,,7/3,63/25,
bohlenPeirceWalkerB,1/1,27/25,,9/7,7/5,75/49,,9/5,49/25,,7/3,63/25,
bohlenPeirceWalkerI,1/1,,25/21,9/7,,75/49,5/3,,49/25,15/7,,63/25,25/9
bohlenPeirceWalkerII,1/1,,25/21,9/7,,75/49,5/3,,49/25,15/7,7/3,,25/9
bohlenPeirceProoijenMaj,1/1,,,9/7,7/5,,5/3,9/5,,,7/3,,25/9
bohlenPeirceProoijenMin,1/1,,25/21,9/7,,,5/3,9/5,,15/7,,,25/9
bohlenPeirceChromatic,1/1,27/25,25/21,9/7,7/5,75/49,5/3,9/5,49/25,15/7,7/3,63/25,25/9
bohlenPeircePentatonic,1/1,,,9/7,,,5/3,,,15/7,,,25/9
