dominant5primefullspan,
1,1
9,8
5,4
4,3
3,2
5,3
9,5
,
major5primefullspan,
1,1
9,8
5,4
4,3
3,2
5,3
15,8
,
dorian5primefullspan,
1,1
9,8
5,4
3,2
5,3
9,5
,
phrygian5primefullspan,
1,1
16,15
16,15
6,5
4,3
3,2
8,5
9,5
,
lydian5primefullspan,
1,1
9,8
5,4
25,18
3,2
5,3
15,8
,
mixolydian5primefullspan,
1,1
9,8
5,4
4,3
3,2
5,3
9,5
,
aeolian5primefullspan,
1,1
9,8
6,5
4,3
3,2
8,5
9,5
,
locrian5primefullspan,
1,1
16,15
6,5
4,3
25,18
8,5
9,5
,
