polyResets1,1/4-1,1/3-1,1/3-1,2/3-1,3/4-1,4/5-1,1/1-1,9/8-1,6/5-1,5/4-1,4/3-1,7/5-1,3/2-1,5/3-1,7/4-1,5/2-1
polyResets2,1/4-2,1/3-2,1/3-2,2/3-2,3/4-2,4/5-2,1/1-2,9/8-2,6/5-2,5/4-2,4/3-2,7/5-2,3/2-2,5/3-2,7/4-2,5/2-2
polyResets3,1/4-3,1/3-3,1/3-3,2/3-3,3/4-3,4/5-3,1/1-3,9/8-3,6/5-3,5/4-3,4/3-3,7/5-3,3/2-3,5/3-3,7/4-3,5/2-3
polyResets4,1/4-4,1/3-4,1/3-4,2/3-4,3/4-4,4/5-4,1/1-4,9/8-4,6/5-4,5/4-4,4/3-4,7/5-4,3/2-4,5/3-4,7/4-4,5/2-4
polyResets5,1/4-5,1/3-5,1/3-5,2/3-5,3/4-5,4/5-5,1/1-5,9/8-5,6/5-5,5/4-5,4/3-5,7/5-5,3/2-5,5/3-5,7/4-5,5/2-5
polyResets6,1/4-6,1/3-6,1/3-6,2/3-6,3/4-6,4/5-6,1/1-6,9/8-6,6/5-6,5/4-6,4/3-6,7/5-6,3/2-6,5/3-6,7/4-6,5/2-6
polyResets7,1/4-7,1/3-7,1/3-7,2/3-7,3/4-7,4/5-7,1/1-7,9/8-7,6/5-7,5/4-7,4/3-7,7/5-7,3/2-7,5/3-7,7/4-7,5/2-7
polyResets8,1/4-8,1/3-8,1/3-8,2/3-8,3/4-8,4/5-8,1/1-8,9/8-8,6/5-8,5/4-8,4/3-8,7/5-8,3/2-8,5/3-8,7/4-8,5/2-8
polyResets9,1/4-9,1/3-9,1/3-9,2/3-9,3/4-9,4/5-9,1/1-9,9/8-9,6/5-9,5/4-9,4/3-9,7/5-9,3/2-9,5/3-9,7/4-9,5/2-9
polyResets10,1/4-10,1/3-10,1/3-10,2/3-10,3/4-10,4/5-10,1/1-10,9/8-10,6/5-10,5/4-10,4/3-10,7/5-10,3/2-10,5/3-10,7/4-10,5/2-10
polyResets11,1/4-11,1/3-11,1/3-11,2/3-11,3/4-11,4/5-11,1/1-11,9/8-11,6/5-11,5/4-11,4/3-11,7/5-11,3/2-11,5/3-11,7/4-11,5/2-11
polyResets12,1/4-12,1/3-12,1/3-12,2/3-12,3/4-12,4/5-12,1/1-12,9/8-12,6/5-12,5/4-12,4/3-12,7/5-12,3/2-12,5/3-12,7/4-12,5/2-12
polyResets13,1/4-13,1/3-13,1/3-13,2/3-13,3/4-13,4/5-13,1/1-13,9/8-13,6/5-13,5/4-13,4/3-13,7/5-13,3/2-13,5/3-13,7/4-13,5/2-13
polyResets14,1/4-14,1/3-14,1/3-14,2/3-14,3/4-14,4/5-14,1/1-14,9/8-14,6/5-14,5/4-14,4/3-14,7/5-14,3/2-14,5/3-14,7/4-14,5/2-14
polyResets15,1/4-15,1/3-15,1/3-15,2/3-15,3/4-15,4/5-15,1/1-15,9/8-15,6/5-15,5/4-15,4/3-15,7/5-15,3/2-15,5/3-15,7/4-15,5/2-15
polyResets16,1/4-16,1/3-16,1/3-16,2/3-16,3/4-16,4/5-16,1/1-16,9/8-16,6/5-16,5/4-16,4/3-16,7/5-16,3/2-16,5/3-16,7/4-16,5/2-16
